order	status	idx	cue	category	fields	hashtags
1	completed_pilot40	7	raise_fists_victory	B	movement|pose	arms_raised axis_z bimanual bimanual_celebration body_space celebration closed_hand hold_segment pilot40_evaluated pipeline_completed pose_plus_movement power_gesture semantic_both semantic_celebration semantic_clenched semantic_energetically semantic_fists semantic_raise semantic_upward triumph triumph_pose two_stage_gesture upward_axis
2	completed_pilot40	8	fist_pump	A	movement|pose	axis_z celebration closed_hand hold_segment interaction_arm pilot40_evaluated pipeline_completed pose_plus_movement power_gesture semantic_clenched semantic_fist semantic_raise semantic_short semantic_thrust semantic_upward single_arm_triumph social_signal two_stage_gesture upward_axis vertical_thrust
3	completed_pilot40	9	flex_bicep	A	movement|pose	arm_flexion axis_z bicep_pose hold_segment interaction_arm pilot40_evaluated pipeline_completed pose_plus_movement semantic_area semantic_bend semantic_bicep semantic_confidence semantic_display semantic_strength semantic_tighten social_signal strength_display strength_pose two_stage_gesture
4	completed_pilot40	10	shrug_idk	A & W	movement|pose	axis_z doubt epistemic_uncertainty full_body_express pilot40_evaluated pipeline_completed pose_plus_movement semantic_arms semantic_loosening semantic_raise semantic_shoulders semantic_uncertainty shoulder_lift shoulder_motion torso_arm_combo two_stage_gesture uncertainty
5	completed_pilot40		self_scratch_head_confused	H & F	movement|pose	axis_z bidirectional_axis body_pointing confusion confusion_display contact_repetition face_adjacent face_hand_combo first_person head_contact head_region oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition self_reference semantic_head semantic_motions semantic_move semantic_repetitive semantic_scratching two_stage_gesture
6	completed_pilot40	12	facepalm	H & F	movement|pose	axis_x embarrassment exasperation face_contact face_hand_combo face_slap_cover head_contact head_region hold_segment open_hand palm_gesture palm_visible pilot40_evaluated pipeline_completed pose_plus_movement semantic_bring semantic_covering semantic_face semantic_palm two_stage_gesture
7	completed_pilot40	13	point_self	A	movement|pose	axis_x body_pointing chest_target deictic finger_articulation first_person first_person_deictic interaction_arm pilot40_evaluated pipeline_completed pointing points_to_own_body pose_plus_movement reference self_reference semantic_area semantic_chest semantic_direct semantic_finger social_signal two_stage_gesture
8	completed_pilot40	14	point_you	A	movement|pose	addressee addressee_directed axis_x deictic finger_articulation interaction_arm other_reference palm_gesture pilot40_evaluated pipeline_completed pointing points_to_other pose_plus_movement reference second_person_deictic semantic_extend semantic_finger semantic_object semantic_orient semantic_palm semantic_person social_signal two_stage_gesture
9	completed_pilot40	15	beckon_come_here	A	movement|pose	approach_invite axis_z come_here forward_axis interaction_arm inward_repetition oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition repetitive_pull rhythmic semantic_extend semantic_forward semantic_inward semantic_pull social_signal social_summon two_stage_gesture
10	completed_pilot40	16	stop_palm_out	A	pose	axis_x blocking halt_signal hold hold_segment interaction_arm open_hand outward_palm_barrier palm_gesture palm_visible pilot40_evaluated pipeline_completed pose_primary prohibition semantic_firmly semantic_hold semantic_outward semantic_palm semantic_position semantic_raise social_signal static_configuration static_segment
11	completed_pilot40	17	pat_stomach	H & F	movement|pose	abdomen_target axis_x comfort contact_repetition face_hand_combo head_contact oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition satiety_or_comfort self_petting semantic_full semantic_hungry semantic_lightly semantic_stomach tapping torso_contact two_stage_gesture
12	completed_pilot40	18	fan_face_hot	H & F	movement|pose	axis_z bidirectional_axis cooling_gesture face_contact face_hand_combo head_contact head_region heat_relief lateral_oscillation oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition self_face self_face_target semantic_face two_stage_gesture wrist_fanning
13	completed_pilot40	19	cover_yawn_sleepy	H & F	movement|pose	axis_x face_cover face_hand_combo fatigue head_contact hold_segment inhibition low_energy mouth_opening pilot40_evaluated pipeline_completed pose_plus_movement semantic_cover semantic_mouth semantic_open semantic_sleepy semantic_wide semantic_yawn sleepiness sleepiness_display two_stage_gesture
14	completed_pilot40	20	rub_eye_tired	H & F	movement|pose	axis_y bidirectional_axis contact_repetition eye_region face_hand_combo face_region fatigue fatigue_display gaze_related head_contact oscillatory periocular_rub pilot40_evaluated pipeline_completed pose_plus_movement repetition rhythmic semantic_area semantic_fatigue two_stage_gesture
15	completed_pilot40	21	tap_temple_think	H & F	movement|pose	axis_y bidirectional_axis cognitive_gesture face_hand_combo head_contact head_region oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition rhythmic semantic_area semantic_cognitive semantic_imply semantic_processing semantic_temple semantic_touch temple_contact temple_tap thinking_display two_stage_gesture
16	completed_pilot40	22	circle_temple_crazy	H & F	movement|pose	arc_path circular_path circular_trace cognitive_gesture face_hand_combo finger_articulation head_contact head_region pilot40_evaluated pipeline_completed pose_plus_movement repetition repetitive_trace rhythmic rotation semantic_finger semantic_imply semantic_irrationality semantic_near semantic_rotate semantic_temple stigma_gesture stigma_insanity temple_trace two_stage_gesture
17	completed_pilot40	23	lean_forward_interest	W	movement|pose	attention attention_forward axis_x body_position engagement engagement_level forward_axis hold_segment pilot40_evaluated pipeline_completed pose_plus_movement prosocial_lean semantic_attention semantic_forward semantic_tilt semantic_upper torso_posture torso_weight two_stage_gesture
18	completed_pilot40	24	cover_mouth_gasp	H & F	movement|pose	axis_x face_cover face_hand_combo face_region head_contact inhibition mouth_cover pilot40_evaluated pipeline_completed pose_plus_movement semantic_cover semantic_following semantic_mouth semantic_move semantic_rapidly semantic_reaction semantic_surprise surprise_display surprise_reaction two_stage_gesture
19	completed_pilot40	25	cheers_toast	A	movement|pose	axis_x celebration celebratory_extension clink_motion forward_reach hold_segment interaction_arm pilot40_evaluated pipeline_completed pose_plus_movement semantic_celebratory semantic_making semantic_outward semantic_raise semantic_toast semantic_upward social_ritual social_signal two_stage_gesture upward_axis
20	completed_pilot40	26	highfive_invite	A	movement|pose	axis_z celebration contact_invitation hold interaction_arm invitation joint_action palm_gesture pilot40_evaluated pipeline_completed pose_plus_movement semantic_contact semantic_hold semantic_invite semantic_level semantic_outward semantic_palm semantic_raise semantic_shoulder social_contact_invite social_offer social_signal static_segment two_stage_gesture
21	completed_pilot40	27	highfive_imitation	A	movement|pose	axis_x celebration hold_segment interaction_arm joint_action mirror_partner palm_gesture pilot40_evaluated pipeline_completed pose_plus_movement semantic_mirror semantic_palm semantic_raised semantic_synchronization social_contact_invite social_signal synchronization two_stage_gesture
22	completed_pilot40	28	fistbump_invite	A	movement|pose	axis_x casual_greeting closed_hand contact_invitation forward_axis hold_segment interaction_arm invitation joint_action mid_action_freeze pause pilot40_evaluated pipeline_completed pose_plus_movement power_gesture semantic_closed semantic_contact semantic_extend semantic_fist semantic_forward semantic_invite semantic_pause social_contact_invite social_offer social_signal two_stage_gesture
23	completed_pilot40	30	pat_self_back	A	movement|pose	axis_z behind_body bidirectional_axis body_pointing comfort contact_repetition first_person interaction_arm oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition self_congratulation self_reference semantic_area semantic_back semantic_congratulatory semantic_move semantic_self semantic_shoulder semantic_upper social_signal tapping two_stage_gesture upper_back_target
24	completed_pilot40	32	throat_cut_stop	H & F	movement|pose	blocking face_hand_combo head_contact line_path line_path_gesture metaphoric_cut neck_region pilot40_evaluated pipeline_completed pose_plus_movement prohibition semantic_across semantic_horizontally semantic_move semantic_sharply semantic_stopping semantic_throat severe_stop stop_signal two_stage_gesture
25	completed_pilot40	35	salute	A	pose	axis_z forehead_contact formal_greeting hold_segment interaction_arm pilot40_evaluated pipeline_completed pose_primary semantic_acknowledgment semantic_brief semantic_forehead semantic_formal semantic_raise social_signal static_configuration
26	completed_pilot40	36	visor_search	A	movement|pose	axis_y bidirectional_axis eye_region eyes_shade forehead_salute_variant head_region interaction_arm looking_distance oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition search_behavior search_posture semantic_above semantic_blocking semantic_environment semantic_eyes semantic_light semantic_place semantic_scanning sensory_block social_signal two_stage_gesture
27	completed_pilot40	37	yield_turn	A	movement	axis_x conversation_yield dynamic_only_spec hand_lower interaction_arm movement_primary pilot40_evaluated pipeline_completed retract semantic_conversational semantic_lower semantic_retract semantic_yielding social_signal turn_taking
28	completed_pilot40	39	request_turn	A	movement|pose	axis_x floor_request forward_axis hand_raise_small interaction_arm pilot40_evaluated pipeline_completed pose_plus_movement semantic_action semantic_forward semantic_opportunity semantic_raise semantic_request semantic_speaking social_request social_signal turn_taking two_stage_gesture
29	completed_pilot40	40	guiding_arm	A	movement|pose	arm_trajectory direction_indication interaction_arm pilot40_evaluated pipeline_completed pose_plus_movement semantic_destination semantic_direction semantic_invitation semantic_outward semantic_sweep social_signal sweeping_arm two_stage_gesture
30	completed_pilot40	41	protective_arm_out	A	movement|pose	arm_trajectory axis_x interaction_arm lateral_barrier_arm pilot40_evaluated pipeline_completed pose_plus_movement semantic_entity semantic_extend semantic_laterally semantic_protectively shield_other shielding social_signal spatial_barrier two_stage_gesture
31	completed_pilot40	45	slow_down_request_palm_down	A	movement|pose	axis_z calming calming_down downward_axis downward_palm_beat interaction_arm open_hand palm_gesture palm_visible pilot40_evaluated pipeline_completed pose_plus_movement repetition rhythmic semantic_calming semantic_downward semantic_move semantic_palm semantic_slowing social_request social_signal tempo_control turn_taking two_stage_gesture
32	completed_pilot40	50	firm_accept_forward_reach	A	movement|pose	axis_x commitment decisive decisive_extension forward_axis forward_extension hold_segment interaction_arm pilot40_evaluated pipeline_completed pose_plus_movement semantic_decisively semantic_direct semantic_extension semantic_forward semantic_reach semantic_stable social_signal spatial_approach two_stage_gesture
33	completed_pilot40	59	nod_yes	F	movement	affirmation axis_z bidirectional_axis downward_axis dynamic_only_spec face_gaze head_motion head_oscillation movement_primary oscillatory pilot40_evaluated pipeline_completed repetition rhythmic semantic_downward semantic_head semantic_rhythmic semantic_tilt semantic_upward upward_axis vertical_head_bob yes
34	completed_pilot40	60	shake_head_no	F	movement	axis_y bidirectional_axis dynamic_only_spec face_adjacent face_gaze head_motion head_oscillation head_region horizontal_head_shake lateral_axis movement_primary negation no oscillatory pilot40_evaluated pipeline_completed repetition rhythmic rotation semantic_disagreement semantic_head semantic_rotate semantic_side
35	completed_pilot40	61	air_quotes	B	movement|pose	axis_z bidirectional_axis bimanual bimanual_fingers body_space discourse_marker finger_articulation finger_pair ironic_quotation irony oscillatory pilot40_evaluated pipeline_completed pose_plus_movement repetition rhythmic semantic_both semantic_fingers semantic_flex semantic_hands semantic_index semantic_middle semantic_quotation two_stage_gesture
36	completed_pilot40	64	tilt_head_curious	F	pose	axis_z curiosity face_adjacent face_gaze head_motion head_region head_tilt hold_segment lateral_axis lateral_head_incline pilot40_evaluated pipeline_completed pose_primary semantic_attention semantic_head semantic_incline semantic_maintaining semantic_sideways semantic_visual static_configuration
37	completed_pilot40	66	shh_gesture	H & F	movement|pose	axis_x face_hand_combo finger_articulation head_contact hold hold_segment index_finger pilot40_evaluated pipeline_completed pose_plus_movement semantic_finger semantic_hold semantic_mouth semantic_near semantic_raise semantic_vertically silence_request static_segment two_stage_gesture
38	completed_pilot40	74	hands_up_surrender	B	pose	axis_x bimanual body_space compliance hand_focus hold_segment non_threat_posture open_hands_up palm_gesture pilot40_evaluated pipeline_completed pose_primary semantic_both semantic_hands semantic_open semantic_palms semantic_raise semantic_surrender semantic_upward static_configuration submission upward_axis
39	completed_pilot40	104	scale_expand	A	movement|pose	arc_path arms_outward interaction_arm magnitude magnitude_metaphor pilot40_evaluated pipeline_completed pose_plus_movement semantic_arms semantic_illustrate semantic_increasing semantic_magnitude semantic_move semantic_outward semantic_size size_metaphor_large social_signal spatial_expansion two_stage_gesture
40	pending_new51	51	hesitant_accept_half_reach	A	movement|pose	forward_axis forward_extension interaction_arm low_confidence_approach partial_extension pause_mid_action pose_plus_movement semantic_confidence semantic_extend semantic_forward semantic_partially semantic_reduced semantic_slower social_signal spatial_approach two_stage_gesture uncertainty
41	pending_new51	52	cancel_previous_offer_retract	A	movement	dynamic_only_spec interaction_arm movement_primary offer_cancel offer_withdrawal semantic_back semantic_extended semantic_previously semantic_pull social_signal withdrawal
42	pending_new51	53	conditional_accept_pause_then_reach	A	movement|pose	delayed_commitment forward_axis forward_extension interaction_arm mid_action_freeze pause pose_plus_movement semantic_conditionally semantic_extending semantic_forward semantic_pause social_signal spatial_approach two_stage_gesture
43	pending_new51	54	final_decision_down_press	A	movement|pose	commitment_signal downward_axis downward_emphasis interaction_arm pose_plus_movement semantic_commitment semantic_downward semantic_finalization semantic_firmly semantic_move social_signal two_stage_gesture
