cue	groundtruth	r1_vlm	r1_vlm_ok	r2_vlm	r2_vlm_ok	r1_text	r1_text_ok	r2_text	r2_text_ok
fist_pump	o (front, horizontal)	up,vertical	False	front,vertical	False	up,horizontal	False	front,vertical	False
flex_bicep	x (left, horizontal)	up,horizontal	False	down,horizontal	False	up,horizontal	False	front,vertical	False
self_scratch_head_confused	o (left, vertical)	left,vertical	True	left,vertical	True	left,vertical	True	left,vertical	True
facepalm	x (up, horizontal) / (down, horizontal)	back,horizontal	False	back,vertical	False	up,horizontal	True	front,horizontal	False
point_you	x (front, vertical) / (front, horizontal)	front,vertical	True	front,vertical	True	front,horizontal	True	front,horizontal	True
beckon_come_here	o (front, horizontal) / (front, vertical) / (up, horizontal)	front,vertical	True	front,horizontal	True	up,horizontal	True	front,vertical	True
stop_palm_out	x (up, horizontal)	front,horizontal	False	up,horizontal	True	front,horizontal	False	up,horizontal	True
rub_eye_tired	o (left, vertical) / (left, horizontal) / (right, vertical) / (right, horizontal)	left,vertical	True	left,vertical	True	left,vertical	True	left,vertical	True
cheers_toast	x (up, horizontal) / (up, vertical)	up,horizontal	True	up,horizontal	True	front,vertical	False	up,horizontal	True
highfive_invite	x (up, horizontal)	front,horizontal	False	front,horizontal	False	up,horizontal	True	up,horizontal	True
pat_self_back	x (back, horizontal)	back,vertical	False	back,vertical	False	down,horizontal	False	down,horizontal	False
throat_cut_stop	x (left, horizontal) / (right, horizontal)	right,vertical	False	right,horizontal	True	left,vertical	False	front,horizontal	False
salute	o (front, horizontal)	up,horizontal	False	up,horizontal	False	up,horizontal	False	right,horizontal	False
visor_search	o (left, vertical)	left,vertical	True	left,horizontal	False	left,vertical	True	left,horizontal	False
request_turn	o (up, horizontal)	up,horizontal	True	up,horizontal	True	front,vertical	False	front,horizontal	False
guiding_arm	o (front, vertical) / (left, horizontal)	front,vertical	True	front,vertical	True	left,horizontal	True	front,horizontal	False
slow_down_request_palm_down	x (front, horizontal)	down,horizontal	False	front,horizontal	True	front,horizontal	True	front,horizontal	True
air_quotes	o (front, horizontal) / (up, horizontal)	up,horizontal	True	front,vertical	False	front,vertical	False	front,horizontal	True
tilt_head_curious	o (front, horizontal)	back,horizontal	False	front,horizontal	True	down,horizontal	False	down,horizontal	False
shh_gesture	o (up, vertical)	back,vertical	False	back,vertical	False	back,vertical	False	left,vertical	False
raise_fists_victory	x (up, vertical) / (up, horizontal)	up,vertical	True	front,vertical	False	up,horizontal	True	down,horizontal	False
shrug_idk	x (up, vertical)	up,horizontal	False	front,vertical	False	up,horizontal	False	front,horizontal	False
scratch_head_confused	x (left, vertical) / (right, vertical)	right,vertical	True	back,horizontal	False	left,vertical	True	left,horizontal	False
point_self	x (back, vertical) / (back, horizontal)	back,horizontal	True	front,horizontal	False	back,vertical	True	front,horizontal	False
pat_stomach	x (left, vertical) / (right, vertical)	back,horizontal	False	back,vertical	False	back,horizontal	False	down,vertical	False
fan_face_hot	x (left, horizontal) / (right, horizontal)	left,vertical	False	front,vertical	False	left,vertical	False	up,horizontal	False
cover_yawn_sleepy	x (up, horizontal)	back,horizontal	False	front,horizontal	False	back,horizontal	False	front,horizontal	False
tap_temple_think	x (left, horizontal) / (right, horizontal)	right,vertical	False	right,vertical	False	left,vertical	False	left,vertical	False
circle_temple_crazy	x (left, vertical) / (right, vertical)	front,horizontal	False	front,horizontal	False	left,vertical	True	front,horizontal	False
lean_forward_interest	o (front, horizontal)	front,horizontal	True	front,horizontal	True	front,horizontal	True	front,horizontal	True
cover_mouth_gasp	x (up, horizontal) / (left, vertical) / (right, vertical)	back,vertical	False	back,vertical	False	back,horizontal	False	back,horizontal	False
highfive_imitation	x (up, horizontal)	front,horizontal	False	front,horizontal	False	up,horizontal	True	up,horizontal	True
fistbump_invite	x (front, horizontal) / (front, vertical)	front,vertical	True	front,vertical	True	front,horizontal	True	front,vertical	True
yield_turn	x (front, horizontal)	back,vertical	False	back,vertical	False	front,horizontal	True	up,horizontal	False
protective_arm_out	x (up, horizontal)	front,horizontal	False	front,vertical	False	up,horizontal	True	front,horizontal	False
firm_accept_forward_reach	o (front, horizontal)	front,horizontal	True	front,horizontal	True	front,horizontal	True	front,horizontal	True
nod_yes	o (front, horizontal)	front,horizontal	True	front,horizontal	True	front,horizontal	True	front,horizontal	True
shake_head_no	x (front, horizontal)	front,vertical	False	front,vertical	False	up,horizontal	False	up,horizontal	False
hands_up_surrender	x (up, horizontal)	up,horizontal	True	front,horizontal	False	up,horizontal	True	up,horizontal	True
scale_expand	x (left, vertical)	front,vertical	False	front,horizontal	False	front,horizontal	False	front,horizontal	False
